,clickspday,counts,normTitleCategory,state
0,24.0,424.0,accounting,AK
1,35.60417,793.0,admin,AK
2,34.0,62.0,arts,AK
3,21.55556,10.0,aviation,AK
4,22.0,152.0,construction,AK
5,13.94737,661.0,customer,AK
6,17.757579999999997,868.0,driver,AK
7,19.249105,477.0,education,AK
8,20.55,66.0,finance,AK
9,16.043425,1104.0,food,AK
10,21.1891891891892,229.0,hr,AK
11,20.83333,878.0,install,AK
12,17.692104999999998,78.0,insurance,AK
13,18.7701149425287,1390.0,management,AK
14,23.0,298.0,manufacturing,AK
15,16.714285,352.0,meddr,AK
16,14.71429,61.0,media,AK
17,25.83787833333335,127.0,medinfo,AK
18,15.825,1379.0,mednurse,AK
19,14.777779999999998,503.0,medtech,AK
20,15.54839,101.0,pharmacy,AK
21,18.14815,213.0,project,AK
22,23.69192055555555,142.0,protective,AK
23,16.7953296703297,1148.0,retail,AK
24,19.310525,954.0,sales,AK
25,19.10625,121.0,science,AK
26,19.417579999999997,430.0,service,AK
27,28.06842,7.0,socialscience,AK
28,13.25806,186.0,techhelp,AK
29,26.17333,308.0,techinfo,AK
30,17.921879999999998,618.0,techsoftware,AK
31,14.95,335.0,therapy,AK
32,16.7,437.0,uncategorized,AK
33,26.57692,320.0,warehouse,AK
0,25.893620000000002,424.0,accounting,AL
1,33.58824,793.0,admin,AL
2,29.25,23.0,arch,AL
3,23.0,62.0,arts,AL
4,16.4375,10.0,aviation,AL
5,29.16129,123.0,care,AL
6,16.25,314.0,childcare,AL
7,21.782049999999998,152.0,construction,AL
8,33.1,661.0,customer,AL
9,15.375,868.0,driver,AL
10,20.9412315934066,477.0,education,AL
11,13.688889999999999,7.0,engchem,AL
12,18.663365,38.0,engcivil,AL
13,18.37589,38.0,engelectric,AL
14,18.766665,120.0,engid,AL
15,27.75,42.0,engmech,AL
16,20.69892306451615,66.0,finance,AL
17,14.791670000000002,1104.0,food,AL
18,43.5,33.0,hospitality,AL
19,45.849725,229.0,hr,AL
20,20.57083333333335,878.0,install,AL
21,32.892855,78.0,insurance,AL
22,28.273070000000004,77.0,legal,AL
23,19.0,1390.0,management,AL
24,23.0,298.0,manufacturing,AL
25,18.526320000000002,193.0,marketing,AL
26,16.938094999999997,74.0,math,AL
27,19.72222,63.0,meddental,AL
28,20.5,352.0,meddr,AL
29,29.178040000000003,61.0,media,AL
30,38.33333,127.0,medinfo,AL
31,15.263160000000001,1379.0,mednurse,AL
32,19.0,503.0,medtech,AL
33,27.5,91.0,personal,AL
34,20.466666666666697,101.0,pharmacy,AL
35,20.478260000000002,213.0,project,AL
36,25.75248,142.0,protective,AL
37,70.25,67.0,realestate,AL
38,16.58836,1148.0,retail,AL
39,23.9,954.0,sales,AL
40,33.30027,284.0,sanitation,AL
41,22.764879999999998,121.0,science,AL
42,22.93548,430.0,service,AL
43,15.68966,7.0,socialscience,AL
44,49.57143,52.0,sports,AL
45,18.6622776530612,186.0,techhelp,AL
46,22.1,308.0,techinfo,AL
47,16.6633663366337,618.0,techsoftware,AL
48,14.52222,335.0,therapy,AL
49,25.35644,50.0,transport,AL
50,17.44136214285715,437.0,uncategorized,AL
51,16.59091,46.0,veterinary,AL
52,28.0990099009901,320.0,warehouse,AL
0,19.368421052631604,424.0,accounting,AR
1,33.0,793.0,admin,AR
2,13.214285,3.0,agriculture,AR
3,23.0,23.0,arch,AR
4,33.23214,62.0,arts,AR
5,28.14286,123.0,care,AR
6,45.51613,314.0,childcare,AR
7,31.605259999999998,152.0,construction,AR
8,38.34,661.0,customer,AR
9,15.964285,868.0,driver,AR
10,25.8,477.0,education,AR
11,19.0,38.0,engcivil,AR
12,19.14286,38.0,engelectric,AR
13,18.10891,120.0,engid,AR
14,17.26667,66.0,finance,AR
15,15.0352427777778,1104.0,food,AR
16,23.625,229.0,hr,AR
17,21.7,878.0,install,AR
18,26.25,78.0,insurance,AR
19,26.0,77.0,legal,AR
20,22.03175,1390.0,management,AR
21,21.967195,298.0,manufacturing,AR
22,16.184525,193.0,marketing,AR
23,22.08571,74.0,math,AR
24,18.38087785714285,63.0,meddental,AR
25,23.46,352.0,meddr,AR
26,13.94444,61.0,media,AR
27,38.44079,127.0,medinfo,AR
28,15.0714285714286,1379.0,mednurse,AR
29,18.99328285714285,503.0,medtech,AR
30,14.50575,91.0,personal,AR
31,27.0,213.0,project,AR
32,21.75,142.0,protective,AR
33,57.22221999999999,67.0,realestate,AR
34,19.850635,1148.0,retail,AR
35,22.01759739130435,954.0,sales,AR
36,16.62857,284.0,sanitation,AR
37,31.636359999999996,121.0,science,AR
38,20.99905,430.0,service,AR
39,20.689284999999998,186.0,techhelp,AR
40,18.67889,308.0,techinfo,AR
41,17.0,618.0,techsoftware,AR
42,18.42857,335.0,therapy,AR
43,21.5,50.0,transport,AR
44,22.33333,437.0,uncategorized,AR
45,23.529708478260847,320.0,warehouse,AR
0,18.57882,424.0,accounting,AZ
1,26.0,793.0,admin,AZ
2,67.5,3.0,agriculture,AZ
3,18.1887238235294,23.0,arch,AZ
4,18.0,62.0,arts,AZ
5,18.823529999999998,10.0,aviation,AZ
6,15.14923076923075,123.0,care,AZ
7,17.854165000000002,314.0,childcare,AZ
8,22.58333,152.0,construction,AZ
9,23.83333,661.0,customer,AZ
10,16.785715,868.0,driver,AZ
11,18.5454545454545,477.0,education,AZ
12,20.625,7.0,engchem,AZ
13,17.711035000000003,38.0,engcivil,AZ
14,18.314775,38.0,engelectric,AZ
15,16.55556,120.0,engid,AZ
16,18.118380000000002,42.0,engmech,AZ
17,18.03448,66.0,finance,AZ
18,16.525,1104.0,food,AZ
19,19.43478,33.0,hospitality,AZ
20,24.0,229.0,hr,AZ
21,18.81188,878.0,install,AZ
22,23.07143,78.0,insurance,AZ
23,23.857145,77.0,legal,AZ
24,18.31666666666665,1390.0,management,AZ
25,20.3636363636364,298.0,manufacturing,AZ
26,25.39375,193.0,marketing,AZ
27,19.41667,74.0,math,AZ
28,20.632355,63.0,meddental,AZ
29,17.766665,352.0,meddr,AZ
30,24.31666666666665,61.0,media,AZ
31,24.0,127.0,medinfo,AZ
32,15.46429,1379.0,mednurse,AZ
33,19.03125,503.0,medtech,AZ
34,20.42424,2.0,mining,AZ
35,22.85714,91.0,personal,AZ
36,16.32258,101.0,pharmacy,AZ
37,20.23529,213.0,project,AZ
38,17.866664999999998,142.0,protective,AZ
39,28.933335,67.0,realestate,AZ
40,17.0,1148.0,retail,AZ
41,19.41667,954.0,sales,AZ
42,18.85714,284.0,sanitation,AZ
43,17.43253,121.0,science,AZ
44,23.0,430.0,service,AZ
45,16.278845,7.0,socialscience,AZ
46,21.58717833333335,52.0,sports,AZ
47,17.5,186.0,techhelp,AZ
48,19.67308,308.0,techinfo,AZ
49,17.250825,618.0,techsoftware,AZ
50,17.850875000000002,335.0,therapy,AZ
51,27.0,50.0,transport,AZ
52,19.526320000000002,437.0,uncategorized,AZ
53,35.429825,46.0,veterinary,AZ
54,30.508335000000002,320.0,warehouse,AZ
0,19.430770000000003,424.0,accounting,CA
1,25.107210000000002,793.0,admin,CA
2,29.005000000000003,3.0,agriculture,CA
3,17.1052631578947,23.0,arch,CA
4,21.8,62.0,arts,CA
5,23.2727272727273,10.0,aviation,CA
6,18.19127055555555,123.0,care,CA
7,18.91304,314.0,childcare,CA
8,19.72727,152.0,construction,CA
9,20.0,661.0,customer,CA
10,17.0,868.0,driver,CA
11,18.88333166666665,477.0,education,CA
12,20.78161,7.0,engchem,CA
13,19.611295,38.0,engcivil,CA
14,16.37037,38.0,engelectric,CA
15,16.9167764814815,120.0,engid,CA
16,18.0,42.0,engmech,CA
17,18.41923076923075,66.0,finance,CA
18,16.16667,1104.0,food,CA
